level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
150,151,NGC 712,71.4,28.285,36.8197,136.456,-24.4263,252.0
151,152,AGC 111124,68.958,28.2892,36.3461,136.596,-24.8827,-9.9
152,153,AGC 110594,68.958,28.3112,36.3339,136.618,-24.8898,130.0
153,154,AGC 111126,68.958,28.3404,36.3603,136.635,-24.8582,-9.9
154,155,UGC 353,68.958,28.3454,36.9553,136.469,-24.2828,220.0
155,156,AGC 110597,68.958,28.3492,36.0122,136.744,-25.1922,126.0
156,157,NGC 714,68.958,28.3733,36.2214,136.704,-24.9853,264.0
157,158,AGC 111127,68.958,28.4229,36.3136,136.72,-24.8858,-9.9
158,159,AGC 110605,68.958,28.4587,36.3503,136.74,-24.8428,157.0
159,160,NGC 717,68.958,28.4796,36.2294,136.793,-24.9549,138.0
160,161,AGC 110607,68.958,28.4871,36.6411,136.68,-24.5563,106.0
161,162,AGC 110608,68.958,28.5471,35.9222,136.941,-25.2367,96.0
162,163,AGC 110613,68.958,28.7233,37.5289,136.621,-23.6503,109.0
163,164,UGC 387,68.958,28.795,36.2608,137.054,-24.8568,-9.9
164,165,UGC 390,68.958,28.8383,36.3069,137.077,-24.803,-9.9
165,166,UGC 392,66.1,28.8725,36.5619,137.031,-24.55,87.0
166,167,NGC 732,68.958,29.1154,36.8022,137.165,-24.2659,133.0
167,168,UGC 415,68.958,29.1829,36.3844,137.348,-24.6528,141.0
168,169,AGC 110683,68.958,29.4071,37.4564,137.213,-23.573,99.0
169,170,UGC 434,68.958,29.4121,36.2553,137.583,-24.7257,113.0
170,171,NGC 759,71.5,29.4596,36.3431,137.596,-24.6307,240.0
171,172,AGC 110690,68.958,29.5233,37.5781,137.272,-23.4305,186.0
172,173,NGC 770,32.3,29.8067,18.9547,144.383,-41.0763,109.1
173,174,IC 179,61.55,30.0479,38.0214,137.569,-22.8883,225.0
174,175,NGC 777,62.25,30.0621,31.4294,139.734,-29.1874,316.3
176,177,Segue_II,0.035,34.8167,20.1753,149.433,-38.1352,4.3
177,178,NGC 936,20.683,36.9058,-1.15639,168.574,-55.2642,167.9
178,179,Fornax,0.139,39.9971,-34.4492,237.104,-65.6515,3.3
179,180,NGC 023,11.581,40.1,39.0633,145.023,-19.0892,166.7
182,183,NGC 222,31.0,47.2362,-2.95528,182.598,-49.2072,90.8
183,184,NGC 248,30.4,48.2021,-5.22472,186.261,-49.8605,80.5
184,185,NGC 266,29.9,49.0029,-2.42722,183.668,-47.5078,79.1
