id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
674 , 5BZBJ0439-4522 , BL Lac , 69.75354 , -45.37292 ,  ,  , 978 , 290 , 19.5 , 0.58 , 1.1e-9
675 , 5BZGJ0439+0520 , BL Lac-galaxy dominated , 69.75942 , 5.34547 , 0.208 ,  , 82 ,  , 15.3 , 2.22 , 
676 , 5BZUJ0439-3210 , Blazar Uncertain type , 69.89117 , -32.16939 ,  ,  , 374 ,  , 19.7 , 0.11 , 3e-10
677 , 5BZQJ0439-3017 , QSO RLoud flat radio sp. , 69.97167 , -30.296 , 1.447 ,  , 249 ,  , 19.7 ,  , 
678 , 5BZQJ0440-4333 , QSO RLoud flat radio sp. , 70.07158 , -43.55239 , 2.852 ,  , 6362 , 325 , 18.2 , 0.4 , 
679 , 5BZBJ0440-2459 , BL Lac Candidate , 70.07737 , -24.99281 , 0.6 ,  ?  , 13 ,  , 17.9 , 2.09 , 
680 , 5BZUJ0440+1437 , Blazar Uncertain type , 70.08808 , 14.6325 ,  ,  , 222 ,  , 18 , 0.13 , 7e-10
681 , 5BZBJ0440+2750 , BL Lac , 70.20992 , 27.84633 ,  ,  , 103 ,  , 18.4 , 0.18 , 9e-10
682 , 5BZQJ0441-4313 , QSO RLoud flat radio sp. , 70.32204 , -43.22878 , 0.593 ,  , 334 ,  , 14.8 , 0.76 , 
683 , 5BZBJ0441-2952 , BL Lac Candidate , 70.33121 , -29.87675 ,  ,  , 576 ,  , 19.4 ,  , 
684 , 5BZBJ0441+1504 , BL Lac , 70.36446 , 15.08211 ,  ,  , 14 ,  , 18.4 , 10.2 , 
685 , 5BZBJ0442-0018 , BL Lac , 70.62587 , -0.30828 , 0.449 ,  , 5 ,  , 19.1 , 1.67 , 
686 , 5BZQJ0442-2825 , QSO RLoud flat radio sp. , 70.65692 , -28.42525 , 1.952 ,  , 357 ,  , 18.5 , 1.63 , 
687 , 5BZQJ0442-0017 , QSO RLoud flat radio sp. , 70.66108 , -0.29539 , 0.845 ,  , 1773 , 724 , 18.2 , 1.7 , 5.9e-9
688 , 5BZGJ0445-6014 , BL Lac-galaxy dominated , 71.25633 , -60.24992 , 0.097 ,  , 54 ,  , 13.7 ,  , 8e-10
689 , 5BZQJ0446+3900 , QSO RLoud flat radio sp. , 71.54787 , 39.00475 , 0.413 ,  , 155 ,  , 18.4 , 0.17 , 
690 , 5BZQJ0447-0322 , QSO RLoud flat radio sp. , 71.97808 , -3.37842 , 0.774 ,  , 87 ,  , 15.4 , 1.09 , 
691 , 5BZQJ0448-3659 , QSO RLoud flat radio sp. , 72.06267 , -36.98394 , 0.561 ,  , 408 ,  , 19.3 ,  , 
692 , 5BZQJ0448-2109 , QSO RLoud flat radio sp. , 72.07242 , -21.16242 , 1.971 ,  , 263 ,  , 19.1 , 0.19 , 4e-10
693 , 5BZQJ0448-5041 , QSO RLoud flat radio sp. , 72.09292 , -50.69272 , 1.479 ,  , 40 ,  , 19.6 ,  , 
694 , 5BZQJ0448-2626 , QSO RLoud flat radio sp. , 72.09983 , -26.43744 , 1.764 ,  , 164 ,  , 19.6 , 0.22 , 
695 , 5BZBJ0448-1632 , BL Lac , 72.15683 , -16.54522 ,  ,  , 59 ,  , 16.6 , 3.22 , 9e-10
696 , 5BZQJ0448-7417 , QSO RLoud flat radio sp. , 72.20225 , -74.292 , 1.208 ,  , 293 ,  , 17.9 , 0.31 , 
697 , 5BZQJ0448+1127 , QSO RLoud flat radio sp. , 72.21004 , 11.46511 , 1.37 ,  , 284 ,  , 19.3 ,  , 3.4e-9
698 , 5BZQJ0449+1121 , QSO RLoud flat radio sp. , 72.28196 , 11.35794 , 2.153 ,  , 847 , 818 , 19.9 , 0.26 , 3.4e-9
699 , 5BZQJ0449+6332 , QSO RLoud flat radio sp. , 72.34712 , 63.53594 , 0.781 ,  , 426 , 406 , 18.7 ,  , 
700 , 5BZBJ0449-4350 , BL Lac , 72.35292 , -43.83583 , 0.205 ,  ?  , 359 ,  , 14.9 , 8.12 , 1.14e-8
701 , 5BZQJ0449-4809 , QSO RLoud flat radio sp. , 72.41496 , -48.16131 , 1.497 ,  , 100 ,  , 18.9 ,  , 
702 , 5BZQJ0449-3911 , QSO RLoud flat radio sp. , 72.42604 , -39.18597 , 1.29 ,  , 542 ,  , 16 , 0.94 , 
703 , 5BZQJ0449-0057 , QSO RLoud flat radio sp. , 72.42875 , -0.95619 , 0.487 ,  , 483 ,  , 18.2 ,  , 
704 , 5BZQJ0450-8101 , QSO RLoud flat radio sp. , 72.52267 , -81.01728 , 0.444 ,  , 821 , 951 , 18.8 , 0.45 , 
705 , 5BZQJ0450-1837 , QSO RLoud flat radio sp. , 72.64962 , -18.61678 , 2.05 ,  ?  , 439 ,  , 19.4 ,  , 
706 , 5BZQJ0451-4653 , QSO RLoud flat radio sp. , 72.97229 , -46.88886 , 0.602 ,  , 476 ,  , 19 , 0.38 , 
707 , 5BZQJ0452+1236 , QSO RLoud flat radio sp. , 73.1775 , 12.60683 , 1.177 ,  , 103 ,  , 19.5 ,  , 
708 , 5BZQJ0453-2807 , QSO RLoud flat radio sp. , 73.31104 , -28.12703 , 2.564 ,  , 2541 , 1486 , 17.9 , 0.22 , 1.9e-9
709 , 5BZQJ0455-4615 , QSO RLoud flat radio sp. , 73.96154 , -46.26631 , 0.858 ,  , 2100 , 1024 , 16.8 , 0.78 , 1.4e-9
710 , 5BZQJ0456-3136 , QSO RLoud flat radio sp. , 74.15283 , -31.60347 , 0.865 ,  , 88 ,  , 19.7 , 0.3 , 5e-10
711 , 5BZQJ0456+0400 , QSO RLoud flat radio sp. , 74.19654 , 4.01469 , 1.349 ,  , 351 ,  , 16.3 , 0.44 , 
712 , 5BZQJ0457-2324 , QSO RLoud flat radio sp. , 74.26325 , -23.41444 , 1.003 ,  , 1727 , 1276 , 17.9 , 0.6 , 2.27e-8
713 , 5BZQJ0457+0645 , QSO RLoud flat radio sp. , 74.28213 , 6.75203 , 0.405 ,  , 518 , 550 , 18.9 , 0.52 , 1.4e-9
714 , 5BZQJ0457-1819 , QSO RLoud flat radio sp. , 74.47638 , -18.32114 , 1.527 ,  , 57 ,  , 17 ,  , 
715 , 5BZQJ0501-0159 , QSO RLoud flat radio sp. , 75.30338 , -1.98731 , 2.291 ,  , 2264 , 621 , 17.9 , 0.92 , 9e-10
716 , 5BZQJ0502+0609 , QSO RLoud flat radio sp. , 75.56437 , 6.15208 , 1.106 ,  , 915 ,  , 18.3 ,  , 5e-10
717 , 5BZBJ0502+1338 , BL Lac , 75.63837 , 13.63636 ,  ,  , 545 ,  , 19.5 , 0.16 , 
718 , 5BZBJ0503+6534 , BL Lac Candidate , 75.77425 , 65.567 ,  ,  , 76 ,  , 17.4 , 5.05 , 
719 , 5BZBJ0503-1115 , BL Lac , 75.89763 , -11.25169 ,  ,  , 10 ,  , 19.9 , 4.64 , 
720 , 5BZQJ0503+6600 , QSO RLoud flat radio sp. , 75.98517 , 66.00875 , 1.696 ,  , 121 ,  , 19.8 ,  , 
721 , 5BZQJ0503+3403 , QSO RLoud flat radio sp. , 75.98658 , 34.05781 , 0.149 ,  , 913 ,  , 17.9 , 0.35 , 
722 , 5BZUJ0504-6049 , Blazar Uncertain type , 76.00708 , -60.83125 , 1.037 ,  ?  , 564 ,  , 19.3 , 0.2 , 
723 , 5BZQJ0505+0459 , QSO RLoud flat radio sp. , 76.34658 , 4.99519 , 0.954 ,  , 987 , 657 , 18.1 , 0.54 , 1.3e-9
724 , 5BZBJ0505+0415 , BL Lac , 76.39492 , 4.26519 , 0.424 ,  , 168 ,  , 16.8 , 3.07 , 8e-10
725 , 5BZQJ0505-0419 , QSO RLoud flat radio sp. , 76.4635 , -4.32406 , 1.481 ,  , 213 ,  , 21.1 , 0.09 , 6e-10
726 , 5BZQJ0505-2930 , QSO RLoud flat radio sp. , 76.48267 , -29.51061 , 1.07 ,  ?  , 186 ,  , 17.6 , 0.39 , 
727 , 5BZBJ0505+6113 , BL Lac , 76.49496 , 61.22664 ,  ,  , 22 ,  , 18.7 , 0.71 , 6e-10
728 , 5BZBJ0506-0858 , BL Lac , 76.66621 , -8.96711 ,  ,  , 21 ,  , 18 , 0.26 , 6e-10
729 , 5BZQJ0506-6109 , QSO RLoud flat radio sp. , 76.68329 , -61.16139 , 1.093 ,  , 1800 , 514 , 16.9 , 1 , 
730 , 5BZBJ0506-5435 , BL Lac , 76.74083 , -54.58439 ,  ,  , 18 ,  , 16.1 , 5.44 , 5e-10
731 , 5BZQJ0507-6104 , QSO RLoud flat radio sp. , 76.97779 , -61.07864 , 1.089 ,  , 842 , 188 , 17.7 , 0.47 , 1.3e-9
732 , 5BZBJ0507+6737 , BL Lac , 76.98438 , 67.62344 , 0.416 ,  ?  , 26 ,  , 17.2 , 12.9 , 2.4e-9
733 , 5BZQJ0508-6433 , QSO RLoud flat radio sp. , 77.08496 , -64.55481 , 0.518 ,  , 33 ,  , 17.1 , 0.33 , 
734 , 5BZBJ0508+8432 , BL Lac , 77.1765 , 84.53458 , 1.34 ,  , 295 ,  , 17.4 , 0.39 , 
735 , 5BZBJ0509+0541 , BL Lac , 77.35817 , 5.69314 ,  ,  , 536 , 395 , 14.3 , 0.56 , 4.9e-9
736 , 5BZQJ0509+1011 , QSO RLoud flat radio sp. , 77.36442 , 10.19572 , 0.621 ,  , 465 ,  , 18.5 , 0.43 , 1.3e-9
737 , 5BZBJ0509-0400 , BL Lac Candidate , 77.40892 , -4.01264 , 0.304 ,  , 71 ,  , 17.9 , 9.07 , 
738 , 5BZBJ0509-2514 , BL Lac , 77.41608 , -25.23433 , 0.264 ,  , 4 ,  , 19 , 1.21 , 
739 , 5BZQJ0510+1800 , QSO RLoud flat radio sp. , 77.50987 , 18.01156 , 0.416 ,  , 705 , 644 , 19.1 , 0.38 , 1.2e-9
740 , 5BZQJ0511+1357 , QSO RLoud flat radio sp. , 77.90963 , 13.95531 , 1.696 ,  , 503 ,  , 18.9 ,  , 
741 , 5BZQJ0513+0100 , QSO RLoud flat radio sp. , 78.41679 , 1.006 , 2.679 ,  , 448 ,  , 19.3 ,  , 
742 , 5BZQJ0513-2159 , QSO RLoud flat radio sp. , 78.45463 , -21.98781 , 1.296 ,  , 648 ,  , 19.6 , 0.36 , 
743 , 5BZQJ0514+5602 , QSO RLoud flat radio sp. , 78.57792 , 56.03642 , 2.19 ,  , 325 ,  ,  , 0.09 , 
744 , 5BZQJ0515-4556 , QSO RLoud flat radio sp. , 78.93846 , -45.94536 , 0.194 ,  , 1471 , 521 , 16.3 , 1.13 , 4e-10
745 , 5BZBJ0515+1527 , BL Lac , 78.94729 , 15.45458 ,  ,  , 27 ,  , 18.3 , 0.14 , 1.4e-9
746 , 5BZQJ0516-1603 , QSO RLoud flat radio sp. , 79.06638 , -16.05211 , 1.278 ,  , 911 ,  , 16.7 , 0.27 , 
747 , 5BZBJ0516+7351 , BL Lac , 79.13004 , 73.85239 ,  ,  , 58 ,  , 18.2 , 0.74 , 4e-10
748 , 5BZBJ0516-6207 , BL Lac , 79.18721 , -62.11817 , 1.3 ,  ?  , 418 , 764 , 17.5 , 3.1 , 3.1e-9
749 , 5BZQJ0516-1537 , QSO RLoud flat radio sp. , 79.23829 , -15.61956 , 1.595 ,  , 233 ,  , 18.8 ,  , 
750 , 5BZQJ0517-0520 , QSO RLoud flat radio sp. , 79.36713 , -5.34467 , 1.413 ,  , 212 ,  , 18.8 ,  , 
751 , 5BZUJ0517+0858 , Blazar Uncertain type , 79.41687 , 8.97661 , 0.328 ,  , 73 ,  , 19 ,  , 
752 , 5BZQJ0517+0648 , QSO RLoud flat radio sp. , 79.46392 , 6.80089 , 0.84 ,  , 668 ,  , 19.2 , 0.44 , 
753 , 5BZQJ0521-1737 , QSO RLoud flat radio sp. , 80.34817 , -17.62506 , 0.347 ,  , 459 ,  , 17.8 , 0.21 , 5e-10
754 , 5BZBJ0521+2112 , BL Lac , 80.44154 , 21.21431 ,  ,  , 530 ,  , 15.5 , 1.4 , 9e-9
755 , 5BZQJ0522+0113 , QSO RLoud flat radio sp. , 80.57279 , 1.22533 , 2.941 ,  , 661 ,  , 20.2 ,  , 4e-10
756 , 5BZQJ0522-0725 , QSO RLoud flat radio sp. , 80.59667 , -7.42039 , 0.164 ,  , 55 ,  , 14.8 , 2.1 , 
757 , 5BZQJ0522-6107 , QSO RLoud flat radio sp. , 80.64346 , -61.13253 , 1.4 ,  , 741 ,  , 18.1 , 0.35 , 
758 , 5BZQJ0522-1627 , QSO RLoud flat radio sp. , 80.68604 , -16.46456 , 1.297 ,  , 230 ,  , 17.5 ,  , 
759 , 5BZUJ0522-3627 , Blazar Uncertain type , 80.74158 , -36.45856 , 0.056 ,  , 15620 , 3815 , 14.6 , 10.4 , 4.9e-9
760 , 5BZQJ0523-2614 , QSO RLoud flat radio sp. , 80.82696 , -26.236 , 3.109 ,  , 1355 ,  , 17.8 ,  , 
761 , 5BZUJ0525-3343 , Blazar Uncertain type , 81.27571 , -33.71819 , 4.413 ,  , 188 ,  , 18.5 , 0.42 , 
762 , 5BZQJ0525-2338 , QSO RLoud flat radio sp. , 81.27713 , -23.63633 , 3.1 ,  , 398 , 418 , 17.7 , 0.27 , 
763 , 5BZQJ0525-4557 , QSO RLoud flat radio sp. , 81.38083 , -45.96519 , 1.479 ,  , 2126 ,  , 15.8 , 0.42 , 
764 , 5BZQJ0525-4318 , QSO RLoud flat radio sp. , 81.47871 , -43.30033 , 2.164 ,  , 456 ,  , 19.3 ,  , 
765 , 5BZQJ0526-4830 , QSO RLoud flat radio sp. , 81.56946 , -48.51022 , 1.3 ,  , 377 , 395 , 19.4 , 0.38 , 1.5e-9
766 , 5BZBJ0527+0331 , BL Lac , 81.88629 , 3.52542 ,  ,  , 252 , 489 , 17.2 ,  , 
767 , 5BZUJ0528-5820 , Blazar Uncertain type , 82.14467 , -58.33814 , 0.254 ,  , 282 ,  , 16.3 , 0.25 , 
768 , 5BZQJ0529-0519 , QSO RLoud flat radio sp. , 82.47304 , -5.32822 , 0.685 ,  , 103 ,  , 20.3 ,  , 9e-10
769 , 5BZQJ0530-2503 , QSO RLoud flat radio sp. , 82.53317 , -25.05831 , 2.778 ,  , 1162 ,  , 17.7 , 0.28 , 
770 , 5BZQJ0530+1331 , QSO RLoud flat radio sp. , 82.73508 , 13.53197 , 2.07 ,  , 1556 , 516 , 18.9 , 0.8 , 2.6e-9
771 , 5BZQJ0532-3848 , QSO RLoud flat radio sp. , 83.00858 , -38.81508 , 1.315 ,  , 169 ,  , 19.3 ,  , 4e-10
772 , 5BZUJ0532-0307 , Blazar Uncertain type , 83.03133 , -3.11861 , 1.88 ,  , 260 ,  , 20.8 ,  , 
773 , 5BZQJ0532+0732 , QSO RLoud flat radio sp. , 83.1625 , 7.54536 , 1.254 ,  , 2729 , 768 , 17.5 , 0.31 , 4.1e-9
774 , 5BZQJ0533+4822 , QSO RLoud flat radio sp. , 83.31612 , 48.38133 , 1.16 ,  , 434 , 1014 , 18.3 , 0.23 , 2.9e-9
775 , 5BZQJ0533-8324 , QSO RLoud flat radio sp. , 83.40321 , -83.40947 , 0.774 ,  , 84 ,  , 20 ,  , 1.3e-9
776 , 5BZBJ0533-4632 , BL Lac , 83.42008 , -46.5375 , 0.332 ,  , 246 ,  , 19.2 , 0.13 , 
777 , 5BZBJ0533-7216 , BL Lac , 83.43629 , -72.27342 ,  ,  , 155 ,  , 18.8 ,  , 4e-10
778 , 5BZQJ0534-3747 , QSO RLoud flat radio sp. , 83.57287 , -37.7905 , 1.668 ,  , 736 ,  , 20 , 0.2 , 
779 , 5BZQJ0534-6106 , QSO RLoud flat radio sp. , 83.64904 , -61.10197 , 1.997 ,  , 451 , 243 , 19.6 , 0.23 , 
780 , 5BZQJ0535-0239 , QSO RLoud flat radio sp. , 83.80108 , -2.65186 , 1.033 ,  , 48 ,  , 19 , 0.12 , 
781 , 5BZQJ0536-3401 , QSO RLoud flat radio sp. , 84.11846 , -34.01986 , 0.684 ,  , 652 ,  , 17.1 , 0.69 , 
782 , 5BZBJ0536-3343 , BL Lac , 84.12112 , -33.71733 ,  ,  , 94 ,  , 16.8 , 4.84 , 2.1e-9
783 , 5BZBJ0537-5718 , BL Lac , 84.454 , -57.30839 ,  ,  , 102 ,  , 17.2 , 0.45 , 4e-10
784 , 5BZUJ0538-3908 , Blazar Uncertain type , 84.54317 , -39.14514 ,  ,  , 24 ,  , 17.9 , 0.65 , 6e-10
785 , 5BZBJ0538-4405 , BL Lac , 84.70983 , -44.08581 , 0.892 ,  , 3729 , 5955 , 16 , 2.1 , 3.71e-8
786 , 5BZQJ0539-3427 , QSO RLoud flat radio sp. , 84.77271 , -34.45353 , 0.263 ,  , 236 ,  , 19.5 , 0.16 , 
787 , 5BZUJ0539-1550 , Blazar Uncertain type , 84.88337 , -15.84175 , 0.947 ,  ?  , 599 ,  , 16.6 , 0.68 , 
788 , 5BZQJ0539+1433 , QSO RLoud flat radio sp. , 84.92654 , 14.56267 , 2.69 ,  , 433 , 245 , 19.8 ,  , 
789 , 5BZQJ0539-2839 , QSO RLoud flat radio sp. , 84.97617 , -28.66553 , 3.104 ,  , 862 , 540 , 19 , 0.83 , 6e-10
790 , 5BZBJ0540+2507 , BL Lac , 85.05975 , 25.13203 , 0.623 ,  , 271 ,  , 19.5 ,  , 
791 , 5BZBJ0540+5823 , BL Lac , 85.12504 , 58.394 ,  ,  , 30 ,  , 17.5 , 5.46 , 8e-10
792 , 5BZQJ0540-5418 , QSO RLoud flat radio sp. , 85.19104 , -54.30614 , 1.185 ,  , 387 , 430 , 17.3 , 0.2 , 8e-10
793 , 5BZQJ0541+5312 , QSO RLoud flat radio sp. , 85.31738 , 53.20689 , 1.275 ,  , 652 ,  , 17.9 , 0.09 , 
794 , 5BZQJ0541-0541 , QSO RLoud flat radio sp. , 85.40867 , -5.69706 , 0.838 ,  , 860 ,  , 20.8 , 0.2 , 1.4e-9
795 , 5BZBJ0543-5532 , BL Lac , 85.98837 , -55.53539 , 0.273 ,  , 41 ,  , 16.5 , 9.04 , 1.9e-9
796 , 5BZQJ0544-2241 , QSO RLoud flat radio sp. , 86.03154 , -22.68611 , 1.537 ,  , 133 ,  , 14.6 , 0.33 , 
797 , 5BZQJ0546-6415 , QSO RLoud flat radio sp. , 86.67433 , -64.25608 , 0.323 ,  , 119 ,  , 15.3 , 3.06 , 
798 , 5BZBJ0546-2204 , BL Lac Candidate , 86.7365 , -22.08214 , 0.247 ,  , 12 ,  , 17.7 , 0.45 , 
799 , 5BZQJ0547-6728 , QSO RLoud flat radio sp. , 86.95925 , -67.46714 , 1.01 ,  , 13 ,  , 16.4 , 0.38 , 
800 , 5BZQJ0549-5246 , QSO RLoud flat radio sp. , 87.43254 , -52.77389 , 0.447 ,  , 140 , 166 , 18.9 , 0.59 , 
801 , 5BZQJ0550-5732 , QSO RLoud flat radio sp. , 87.53979 , -57.54008 , 2.001 ,  , 368 , 603 , 18.8 , 0.63 , 
802 , 5BZGJ0550-3216 , BL Lac-galaxy dominated , 87.66904 , -32.27147 , 0.069 ,  , 345 ,  , 13.1 , 26.3 , 
803 , 5BZQJ0551-1909 , QSO RLoud flat radio sp. , 87.98025 , -19.15583 , 0.73 ,  , 81 ,  , 19.9 , 0.27 , 
804 , 5BZBJ0553-2034 , BL Lac , 88.38792 , -20.57186 ,  ,  , 233 ,  , 18.2 , 0.68 , 
805 , 5BZQJ0554+6857 , QSO RLoud flat radio sp. , 88.50338 , 68.96511 , 1.373 ,  , 97 ,  , 19.7 ,  , 
806 , 5BZQJ0555+3948 , QSO RLoud flat radio sp. , 88.87837 , 39.81367 , 2.365 ,  ?  , 1517 , 719 , 18.1 , 0.65 , 
807 , 5BZBJ0556-4351 , BL Lac , 89.07808 , -43.86278 ,  ,  , 28 ,  , 19.1 ,  , 6e-10
808 , 5BZQJ0557+2413 , QSO RLoud flat radio sp. , 89.26963 , 24.23203 , 3.228 ,  , 830 ,  , 20.7 ,  , 
809 , 5BZQJ0558-1317 , QSO RLoud flat radio sp. , 89.51062 , -13.29478 , 1.725 ,  , 947 ,  , 18.9 ,  , 
810 , 5BZBJ0558-3838 , BL Lac , 89.52542 , -38.64153 , 0.302 ,  , 105 ,  , 16.1 , 7 , 7e-10
811 , 5BZBJ0558-7459 , BL Lac , 89.69183 , -74.98478 ,  ,  , 243 ,  , 16.1 , 0.17 , 7e-10
812 , 5BZQJ0559-4529 , QSO RLoud flat radio sp. , 89.79813 , -45.4945 , 0.687 ,  , 384 , 276 , 19.1 , 0.21 , 
813 , 5BZQJ0559+5804 , QSO RLoud flat radio sp. , 89.80579 , 58.06761 , 0.904 ,  , 392 ,  , 19.1 ,  , 
814 , 5BZQJ0600-3937 , QSO RLoud flat radio sp. , 90.13079 , -39.61733 , 1.661 ,  , 461 , 239 , 18.9 , 1.98 , 
815 , 5BZBJ0601+3838 , BL Lac , 90.26192 , 38.64144 ,  ,  , 704 ,  , 19.8 , 0.06 , 7e-10
816 , 5BZQJ0601-7036 , QSO RLoud flat radio sp. , 90.29662 , -70.60244 , 2.409 ,  , 212 , 371 , 18.5 , 0.11 , 3.6e-9
817 , 5BZQJ0601+2324 , QSO RLoud flat radio sp. , 90.44733 , 23.41486 , 0.274 ,  , 286 ,  , 21.4 ,  , 
818 , 5BZQJ0601-2736 , QSO RLoud flat radio sp. , 90.453 , -27.60611 , 1.664 ,  , 151 ,  , 18.5 , 0.14 , 
819 , 5BZQJ0601-2004 , QSO RLoud flat radio sp. , 90.47013 , -20.07922 , 1.216 ,  , 63 ,  , 19.8 ,  , 7e-10
820 , 5BZQJ0603+1742 , QSO RLoud flat radio sp. , 90.78804 , 17.70467 , 1.738 ,  , 468 ,  , 19.2 , 0.06 , 
821 , 5BZQJ0603-1716 , QSO RLoud flat radio sp. , 90.99054 , -17.2745 , 2.711 ,  , 318 ,  , 20 ,  , 
822 , 5BZBJ0604-4817 , BL Lac , 91.036 , -48.29039 ,  ,  , 32 ,  , 17.3 , 3.1 , 7e-10
823 , 5BZQJ0604-4225 , QSO RLoud flat radio sp. , 91.10488 , -42.42503 , 0.611 ,  , 253 ,  , 20.6 , 0.33 , 
824 , 5BZQJ0604+2429 , QSO RLoud flat radio sp. , 91.22967 , 24.49861 , 1.133 ,  , 837 ,  , 18.1 ,  , 
825 , 5BZQJ0606-0724 , QSO RLoud flat radio sp. , 91.68146 , -7.40839 , 1.277 ,  , 214 ,  , 19.4 ,  , 
826 , 5BZQJ0606-0024 , QSO RLoud flat radio sp. , 91.73929 , -0.41603 , 1.028 ,  , 134 ,  , 19.6 , 0.15 , 
827 , 5BZBJ0607-2518 , BL Lac , 91.80992 , -25.31653 , 0.275 ,  , 12 ,  , 17.7 , 1.91 , 
828 , 5BZBJ0607+4739 , BL Lac Candidate , 91.84687 , 47.66303 ,  ,  , 381 ,  , 16.6 , 0.39 , 2.2e-9
829 , 5BZQJ0607+6720 , QSO RLoud flat radio sp. , 91.96946 , 67.34872 , 1.97 ,  , 423 ,  , 20.2 , 0.33 , 
830 , 5BZQJ0607-0834 , QSO RLoud flat radio sp. , 91.99875 , -8.58056 , 0.87 ,  , 1905 , 1239 , 15.5 , 0.24 , 1.8e-9
831 , 5BZUJ0608-1520 , Blazar Uncertain type , 92.00637 , -15.34361 , 1.094 ,  , 279 ,  , 20.5 , 0.15 , 2.3e-9
832 , 5BZQJ0608-2220 , QSO RLoud flat radio sp. , 92.24871 , -22.33914 , 1.926 ,  , 678 , 456 , 20.5 , 0.12 , 
833 , 5BZBJ0609-0247 , BL Lac , 92.31275 , -2.7985 ,  ,  , 62 ,  , 16.9 , 0.31 , 1e-9
834 , 5BZQJ0609-0615 , QSO RLoud flat radio sp. , 92.41642 , -6.25161 , 2.219 ,  , 101 ,  , 19.8 ,  , 2e-10
835 , 5BZQJ0609-1542 , QSO RLoud flat radio sp. , 92.42063 , -15.71131 , 0.324 ,  , 2742 , 1663 , 15.3 , 0.87 , 
836 , 5BZBJ0610-1847 , BL Lac , 92.57454 , -18.79447 ,  ,  , 128 ,  , 17.3 , 0.38 , 6e-10
837 , 5BZQJ0610-6058 , QSO RLoud flat radio sp. , 92.62629 , -60.97725 , 1.773 ,  , 350 ,  , 20.1 , 0.21 , 5e-10
838 , 5BZQJ0610-2301 , QSO RLoud flat radio sp. , 92.66163 , -23.02939 , 2.854 ,  , 361 ,  , 18.8 ,  , 
839 , 5BZQJ0612-4337 , QSO RLoud flat radio sp. , 93.11921 , -43.63011 , 3.461 ,  , 300 ,  , 17.1 , 0.35 , 
840 , 5BZQJ0612-3138 , QSO RLoud flat radio sp. , 93.12358 , -31.6495 , 0.873 ,  , 613 ,  , 17.9 , 0.24 , 
841 , 5BZBJ0612+4122 , BL Lac , 93.21325 , 41.37706 ,  ,  , 248 ,  , 16.3 , 0.25 , 3.6e-9
842 , 5BZBJ0613+7107 , BL Lac , 93.43054 , 71.12408 , 0.267 ,  , 25 ,  , 19.1 , 0.39 , 
843 , 5BZQJ0613+1306 , QSO RLoud flat radio sp. , 93.49037 , 13.11261 , 0.745 ,  , 545 ,  , 19.5 , 0.22 , 
844 , 5BZQJ0614-2536 , QSO RLoud flat radio sp. , 93.57171 , -25.61486 , 2.15 ,  , 419 ,  , 19 ,  , 
845 , 5BZQJ0614+6046 , QSO RLoud flat radio sp. , 93.59946 , 60.77272 , 2.702 ,  , 1182 ,  , 18.8 ,  , 
846 , 5BZBJ0615-3117 , BL Lac , 93.83017 , -31.28931 ,  ,  , 173 ,  , 18.8 , 0.16 , 
847 , 5BZQJ0617-2200 , QSO RLoud flat radio sp. , 94.25854 , -22.00781 , 2.316 ,  , 216 ,  , 17.8 ,  , 
848 , 5BZBJ0617+5701 , BL Lac , 94.3205 , 57.02122 ,  ,  , 463 ,  , 17 , 0.31 , 1.2e-9
849 , 5BZGJ0617-1715 , BL Lac-galaxy dominated , 94.38921 , -17.25689 , 0.098 ,  , 364 ,  , 14.1 , 0.11 , 1.4e-9
850 , 5BZQJ0617+7816 , QSO RLoud flat radio sp. , 94.48725 , 78.26872 , 1.43 ,  , 157 ,  , 19.8 , 0.32 , 
851 , 5BZQJ0618+4620 , QSO RLoud flat radio sp. , 94.53425 , 46.33778 , 0.607 ,  , 64 , 258 , 19.6 , 0.14 , 
852 , 5BZQJ0618-7843 , QSO RLoud flat radio sp. , 94.62538 , -78.71728 , 0.942 ,  , 214 ,  , 17 , 0.36 , 
853 , 5BZUJ0619-1140 , Blazar Uncertain type , 94.76708 , -11.68192 , 0.97 ,  ?  , 508 , 233 , 21.5 , 0.08 , 
854 , 5BZUJ0620-2515 , Blazar Uncertain type , 95.13383 , -25.25486 , 1.9 ,  ?  , 1214 , 337 , 18.5 ,  , 
855 , 5BZBJ0621+1747 , BL Lac , 95.44896 , 17.79308 ,  ,  , 12 ,  , 18.6 , 1.32 , 
856 , 5BZBJ0621-3411 , BL Lac , 95.45704 , -34.19706 , 0.529 ,  , 8 ,  , 20.2 , 1.84 , 
857 , 5BZUJ0621+3750 , Blazar Uncertain type , 95.49013 , 37.84917 ,  ,  , 44 ,  , 20 ,  , 1.8e-9
858 , 5BZQJ0622-1927 , QSO RLoud flat radio sp. , 95.61892 , -19.45506 , 2.19 ,  , 133 ,  , 18 ,  , 
859 , 5BZUJ0622+3326 , Blazar Uncertain type , 95.71758 , 33.43622 , 1.062 ,  , 240 , 260 , 18.3 , 0.21 , 4e-9
